NIP;Nazwa Placówki;Adres;Nr telefonu;Adres email
8251711719;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŁUKOWIE;Doktora Andrzeja Rogalińskiego 3, 21-400 Łuków;257 982 980;spzoz@spzozlukow.pl
8251774855;NZOZ ŁUKMED s.c. J. Braszko, F. Braszko;Międzyrzecka 60, 21-400 Łuków;257989877;administracja@nzozlukmed.pl
8542402704;POLMED DIAGNOSTYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Aleja Grunwaldzka 82/3/352, 80-244 Gdańsk;798729720;biuro@polmeddiagnostyka.pl
8621431338;Centrum Medyczne ANI - MED Magdalena Woś-Ponczek;Jana Zamoyskiego 77, 23-300 Janów Lubelski;15-8717504;biuro@ani-med.pl
8621439920;SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W JANOWIE LUBELSKIM;Jana Zamoyskiego 149, 23-300 Janów Lubelski;158436605;sekretariat@szpitaljanowlubelski.pl
8621462215;"Niepubliczny Zakład Opieki Zdrowotnej ""Zdrowie"" s.c. Izabela Dorota Anasiewicz-Kostrzewa, Maria Kokoszka";Jana Pawła II 5, 23-300 Janów Lubelski;158723099;rejestracja@nzoz-zdrowie.pl
8621654239;SAWA MEDICAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Różana 24, 23-300 Janów Lubelski;158721881;kontakt@sawamedical.pl
8651531725;KRZYSZTOF ANTONOWICZ - LEKARZ SPECJALISTA RADIODIAGNOSTYKI;Staszica 2A/1A, 37-450 Stalowa Wola;602274156;krzysztofant1962@gmail.com
8732695394;"""CENTERMED"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Wojciecha Bandrowskiego 16A, 33-100 Tarnów;14 63 14 800;biuro@centermed.pl
9181014593;Niepubliczny Zakład Opieki Zdrowotnej KardioNeuroMED Ewa Dudko;Stanisława Moniuszki 31, 23-400 Biłgoraj;846 868 611;biuro@kardioneuromed.pl
9181774861;FIZJOMED Anna Świtała;Kochanowskiego 50, 23-400 Biłgoraj;888107890;dudka@wp.pl
9181839135;GADU-GADU CENTRUM TERAPEUTYCZNO-REHABILITACYJNE Alicja Bosak;Długa 75, 23-400 Biłgoraj;694485094;alicjabosak@o2.pl
9181946925;"PRZYCHODNIA LEKARSKA ""TWÓJ LEKARZ"" S.C. - ANNA OLESZEK-MAZUREK,KATARZYNA MARTA GRYGIEL, DARIUSZ MAZUREK";dr. Stanisława Pojaska 3, 23-400 Biłgoraj;846864133;twojlekarz@tlen.pl
9182116396;SMH Stańska,Kopacz,Korona-Lekarze Spółka Partnerska;Długa 75, 23-400 Biłgoraj;846867578;smh@op.pl
9191517717;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W HRUBIESZOWIE;Józefa Piłsudskiego 11, 22-500 Hrubieszów;846 963 296;sekretariat@spzozhrubieszow.pl
9211246151;CENTRUM MEDYCZNE im.Stanisława STAROWIEYSKIEGO lek.med. MARIAN DOMAGAŁA;Chopina 8, 22-650 Łaszczów;84 6650182, 502274752;mariandomagala1213@yahoo.pl
9211353740;Janusz Fornalski, NZOZ PORADNIA DERMATOLOGICZNA JANUSZ FORNALSKI;Melchiora Wańkowicza 12, 22-600 Tomaszów Lubelski;84-6651222;janusz.fornalski@interia.pl
9211644727;Niepubliczny Zakład Opieki Zdrowotnej CENTRUM ZDROWIA B. Kostykiewicz i Wspólnicy - Spółka Jawna;Janusza Petera 3, 22-600 Tomaszów Lubelski;846641555, 846643131, 846646969;centrum-zdrowia@lzlrp.pl
9211645721;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W TOMASZOWIE LUBELSKIM;Al. Grunwaldzkie 1, 22-600 Tomaszów Lubelski;846644411;szpital@szpital-tomaszow.pl
9211766755;"""PORADNIA RODZINNA"" BIACHOW-FUS, DOLANOWSKI, KRAWCZYK, PODOBA SPÓŁKA JAWNA";dr. Janusza Petera 3, 22-600 Tomaszów Lubelski;846642249;H.D@OP.PL
9211769618;"""MEDYK A.JAKUBIAK, M.JAKUBIAK SPÓŁKA JAWNA""";Wyspiańskiego 21, 22-600 Tomaszów Lubelski;846641289;nzozmedyk@nzozmedyk.com.pl
9221020715;Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Paweł Dudek;Św. Piątka 49, 22-400 Zamość;846 399 999;przychodnia@proflek.pl
9221045922;DERMATOLOGIA ZAMOJSKA S.C. BEATA BEŁZ -ŁAGODA,RADOSŁAW GAŁAN;Elizy Orzeszkowej 28, 22-400 Zamość;84-6395687;dermatolog@zam.pl
9221287157;Bogusław Wojda - Niepubliczny Zakład Opieki Zdrowotnej Poradnie Specjalistyczne;Plac Tadeusza Kościuszki 25, 22-460 Szczebrzeszyn;600819119;boguslawwojda@wp.pl
9221360210;Nowy Słuch Małgorzata Nowaczyńska;Polna 16C, 22-400 Zamość;604888870;nowysluch@gmail.com
9221452248;"Stanisław Misztal, Przychodnia Okulistyczna ""Sokoli Wzrok"" lek.med.Stanisław Misztal";Nowy Rynek 20, 22-400 Zamość;846391890;smisztal@interia.pl
9222282854;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W SZCZEBRZESZYNIE;D-ra Zygmunta Klukowskiego 3, 22-460 Szczebrzeszyn;84 682 35 51;biuro@zoz-szczebrzeszyn.pl
9222292491;SAMODZIELNY PUBLICZNY SZPITAL WOJEWÓDZKI IM.PAPIEŻA JANA PAWŁA II W ZAMOŚCIU;Aleje Jana Pawła II 10, 22-400 Zamość;677 33 33;szpital@szpital.zam.pl
9222333304;STOWARZYSZENIE NA RZECZ ROZWOJU REHABILITACJI I POMOCY POSZKODOWANYM W WYPADKACH KOMUNIKACYJNYCH;Koszary 60, 22-400 Zamość;846 385 847;omsir@op.pl
9222343136;"""ORTOPEDIA ZAMOJSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Jana Kilińskiego 4, 22-400 Zamość;846 381 589;ortopediazamojska@poczta.onet.pl
9222348895;"NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""MED-SPEC"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Jana Kilińskiego 4, 22-400 Zamość;846384253;medspec1@poczta.onet.pl
9222492296;SALUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Szczebrzeska 11I, 22-400 Zamość;84 53 21 337;dr.salus@wp.pl
9222686994;"""Specjal-Med"" spółka z ograniczoną odpowiedzialnością";Jana Kilińskiego 4, 22-400 Zamość;846391169;cadamuro@op.pl
9222693037;"""ZAMOJSKI SZPITAL NIEPUBLICZNY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Peowiaków 1, 22-400 Zamość;84 67 75 010;zamosc@szpital.com.pl
9222695757;CENTRUM OKULISTYKI OKO-MED. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Polna 9 A, 22-400 Zamość;846383525;okomed.zamosc@gmail.com
9222707928;"""PULS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Aleje Jana Pawła II 19, 22-400 Zamość;845303745;biuro@centrumzdrowiapuls.pl
9222733587;Centrum Zdrowia i Urody - ARS MEDICA Tomasz Żądkowski;Spadek 41, 22-400 Zamość;845389401;biuro@strefaczysta.pl
9222897343;"""CENTRUM ZDROWIA"" PRYWATNY GABINET NEUROLOGICZNY NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ANDRZEJ BRODOWSKI, ALINA BRODOWSKA SPÓŁKA JAWNA";Graniczna 14D, 22-400 Zamość;846 962 481;cz2hrubieszow@neostrada.pl
9222957269;OKULISTYKA ZACISZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Źródlana 23, 22-400 Zamość;602450762;zam3@onet.pl
9223024924;"""LE-MED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""";B. Prusa 2, 22-400 Zamość;511147216;le.med.poradnia@gmail.com
9223034070;RESORT-MED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Prymasa Stefana Wyszyńskiego 2, 22-400 Zamość;846771706;ksiegowosc@resortmed.pl
9223039357;NOVAMED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Monopolowa 30, 22-470 Zwierzyniec;604 201 284,84 611 22 21;waszymanski27@wp.pl
9223047954;CENTRUM USŁUG MEDYCZNYCH SONOLOGISTIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Peowiaków 1B, 22-400 Zamość;846 391 903;biuro@sonologistic.com
9223050703;NU-MED CENTRUM DIAGNOSTYKI I TERAPII ONKOLOGICZNEJ ZAMOŚĆ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Aleje Jana Pawła II 10, 22-400 Zamość;845 359 910;sekretariat.zamosc@nu-med.pl
9223052300;"NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""JOLOKO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Feliksa Wolskiego 5, 22-400 Zamość;793778779;b.baranowski@joloko.pl
9223057970;MMEDICAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Północna 24/30, 20-064 Lublin;695860202;BIURO@MMEDICAL.PL
9460006983;CARITAS ARCHIDIECEZJI LUBELSKIEJ;Prymasa Stefana Wyszyńskiego 2, 20-950 Lublin;815329571;lublin@caritas.pl
9461327034;BUCZKO JADWIGA NZOZ CENTRUM MEDYCZNE PRZYCHODNIA MEDYCYNY RODZINNEJ;Łuszczów Drugi 106, 20-258;691589767;poz2@onet.pl
9461529861;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ FARMED STANISŁAW PODGÓRSKI;Marii Koryznowej 2G, 20-137 Lublin;81 74 76 777;nzozfarmed@wp.pl
9461813102;"""OŚRODEK MEDYCZNY DMP"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Projektowa 5, 20-209 Lublin;817 105 678;info@omdmp.lublin.pl
9461836221;SPECJALISTYCZNE GABINETY LEKARSKIE SPÓŁKA JAWNA KUSY I WSPÓLNICY CENTRUM DIAGNOSTYKI MEDYCZNEJ;Górnicza 3, 21-010 Łęczna;817520741;pawekus.kusy@gmail.com
9462104537;Porębski Artur 1) M.D. Artur Porębski 2) NZOZ PLR Uśmiech Artur Porębski 3)M.D. Artur Porębski;Ciecierzyn 85, 21-003;814 732 699;mdwkladykominowe@gmail.com
9462146139;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W LUBLINIE;Grenadierów 3, 20-331 Lublin;817284626;sekretariat@szpitalmsw.pl
9462160056;SZPITAL NEUROPSYCHIATRYCZNY IM. PROF. MIECZYSŁAWA KACZYŃSKIEGO SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE;Abramowicka 2, 20-442 Lublin;81 728 64 02;sekretariat@snzoz.lublin.pl
9462325942;",,MEDYCYNA 2001"" spółka z ograniczoną odpowiedzialnością";Nałkowskich 114, 20-470 Lublin;817446299;medicina@tlen.pl
9462329207;CENTRUM OKULISTYCZNE EYEMED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Dra Witolda Chodźki 10A/401, 20-093 Lublin;81 477 90 70;rejestracja@eyemed.pl
9462374099;GABINET OKULISTYCZNY ELENA DOMASEVICH;Bursztynowa 34/24, 20-576 Lublin;81-8273337;lenadom@op.pl
9462404647;"""KADREMA"" Spółka z ograniczoną odpowiedzialnością";Kalinowszczyzna 46 B, 20-129 Lublin;817484815;prezes@kadrema.pl
9462493740;"""MAGNOLIOWA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Magnoliowa 2, 20-143 Lublin;817472495, 817472524;aga.wolak@onet.eu
9462513721;",,MEDIS"" Spółka z ograniczoną odpowiedzialnością";Wolska 11, 20-411 Lublin;814 415 198;adamiak@yahoo.com
9462577974;CONSILIUM MED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Krańcowa 107 A, 20-338 Lublin;81 747 19 39;czartoryskalucyna@gmail.com
9462636748;LOGISPHARM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Bazylianówka 58, 20-144 Lublin;665-264-550;sylwia.zarzeczna@grupacurate.pl
9462673353;"""NZOZ MED-LASER BORZĘCKI SPÓŁKA JAWNA""";Młyńska 14A, 20-406 Lublin;815 329 090;medlaser@poczta.onet.pl
9462680554;NOWOMEDICA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Energetyków 19, 20-468 Lublin;500030846;jaroslawnowosad@wp.pl
9462731760;CENTRUM MEDYCZNE SANUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Magnoliowa 2, 20-143 Lublin;817471999;jacekmdj@o2.pl
"6440515875	";OPTYKA OXYS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Jana Kilińskiego 27, 08-110 Siedlce;7615152;lubartow@okularium.pl
"7123316164	";MEDCLINIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Drewniana 61, 21-040 Świdnik;500 555 010;info@medclinic.med.pl
"9223001099	";NSZOZ KARDIOLOGIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Feliksa Wolskiego 5, 22-400 Zamość;691115775;kardiologia.zamosc@onet.pl
