Reference Key;Default Language;pl
lbl.create;Create;Utwórz
msg.say.something.nice;Say something nice;Powiedz coś miłego
msg.channel.msg.markdown;Oh! You may <strong>**bold**</strong>, <em>_italic_</em>, <del> ~~strike~~ </del>,<code>`highlight`</code>;Możesz użyć <strong>**pogrubienia**</strong>, <em>_kursywy_</em>, <del> ~~przekreślenia~~ </del>,<code>`wyróżnienia`</code>
msg.join.channel;You have not yet joined <strong>{channelName}</strong> channel. Please join channel and start discussing.;Nie dołączyłeś jeszcze do kanału <strong>{channelName}</strong>. Dołącz do kanału i rozpocznij dyskusję.
msg.channel.markdown.help.txt;<strong>**bold**</strong>, <em>_italic_</em>, <del> ~~strike~~ </del>,<code>`highlight`</code>;<strong>**pogrubienie**</strong>, <em>_kursywa_</em>, <del> ~~przekreślenie~~ </del>,<code>`wyróżnienie`</code>
msg.channel.empty;No channels available. Create one.;Brak dostępnych kanałów. Utwórz kanał.
lbl.view.all;View All;Zobacz wszystkie
lbl.leave;Leave;Opuść
lbl.leave.channel;Leave Channel?;Opuścić kanał?
msg.leave.private.channel;This action will remove you from this private discussion channel. You will not be able to join back unless someone adds you again.;Ta akcja usunie Cię z tego prywatnego kanału dyskusyjnego. Nie będziesz mógł dołączyć ponownie, chyba że ktoś Cię doda.
lbl.result;Result;Wynik
lbl.results;Results;Wyniki
lbl.clear.filter;Clear Filter;Wyczyść filtr
lbl.clear.filters;Clear Filters;Wyczyść filtry
lbl.tracks;Tracks;Ścieżki
lbl.session.category;Session Category;Kategoria sesji
lbl.session.venue;Session Venue;Miejsce wydarzenia
lbl.session.tags;Session Tags;Tagi sesji
lbl.print.agenda;Print Agenda;Drukuj agendę
lbl.delete.img;Delete Image?;Usunąć obraz?
lbl.delete.imgs;Delete Images?;Usunąć obrazy?
msg.announcement.empty;No notifications;Brak powiadomień
lbl.filter;Filter;Filtruj
lbl.apply.filter;Apply Filter;Zastosuj filtr
lbl.my.account;My Account;Moje konto
lbl.my.tickets;My Tickets;Moje bilety
lbl.featured.session;Featured Session;sesja wyróżniona
lbl.featured.speaker;Featured Speaker;prelegent wyróżniony
lbl.speaker.sessions;{speakerName}'s Sessions;Sesje {speakerName}
lbl.session;Session;Sesja
lbl.speaker;Speaker;Prelegent
lbl.photograph;Photograph;Fotografia
lbl.sessions;Sessions;Sesje
lbl.speakers;Speakers;Prelegenci
lbl.skills;Skills;Umiejętności
lbl.photos;Photographs;fotografie
lbl.photos.count;{count} Files;{count} plików
lbl.file.count;1 File;1 plik
lbl.available;Available;Dostępny
lbl.booked;Booked;Zarezerwowany
lbl.on.hold;On Hold;Wstrzymane
lbl.live;Live;Na żywo
lbl.session.ct;{count} Session;{count} sesja
lbl.sessions.ct;{count} Sessions;{count} sesji
msg.session.live.es;There are no sessions running now. Kindly, check back after a while.;Obecnie nie ma aktywnych sesji. Sprawdź ponownie za chwilę.
lbl.bookmarked;Bookmarked;Dodano do zakładek
lbl.my.sessions;My Sessions;Moje sesje
msg.agenda.day.of;Day {currentDay} of {totalDays};Dzień {currentDay} z {totalDays}
msg.agenda;Agenda;Agenda
lbl.calendar;Calendar;kalendarz
lbl.sponsor.packages;Sponsor Packages;Pakiety sponsorskie
lbl.sponsor.categories;Sponsor Categories;Kategorie sponsorów
msg.prospect.cant.find;Can't find your tickets for this event?;Nie możesz znaleźć swoich biletów na to wydarzenie?
msg.prosepect.claim.tkt;You can claim tickets for this account from any of your other Backstage accounts;Możesz odebrać bilety dla tego konta z dowolnego innego swojego konta Backstage
lbl.claim.ticket;Claim Ticket;Odbierz bilet
lbl.update.email;Update Email;Zaktualizuj e-mail
msg.update.email.and.cliam.ticket.description;The email <strong>{email}</strong> is currently associated with the ticket <strong> {ticketId} </strong>. Update your email address and claim the ticket.;E-mail <strong>{email}</strong> jest obecnie powiązany z biletem <strong>{ticketId}</strong>. Zaktualizuj swój adres e-mail i odbierz bilet.
lbl.update;Update;Aktualizuj
lbl.skip;Skip;Pomiń
lbl.update.email.id;Update Email Address;Zaktualizuj adres e-mail
msg.email.update.confirm;This action will change your email address from <b>{oldEmail}</b> to <b>{newEmail}</b>. You will be signed out of your account and will have to sign in again.;Ta akcja zmieni Twój adres e-mail z <b>{oldEmail}</b> na <b>{newEmail}</b>. Zostaniesz wylogowany i musisz zalogować się ponownie.
lbl.reassign.success;Reassign Success;Przypisano ponownie
lbl.claim.tckts;Claim Tickets;Odbierz bilety
lbl.choose.photo;Choose Photo;Wybierz zdjęcie
msg.error.image.upload.save;Unable to upload your image. Please refresh the page and try again.;Nie mogę przesłać Twojego zdjęcia. Odśwież stronę i spróbuj ponownie.
msg.error.sensitive.image;The photo was blocked due to sensitive content.;Zdjęcie zostało zablokowane z powodu wrażliwej treści.
msg.no.photos.uploaded;No Photos Uploaded;Nie przesłałeś zdjęć
msg.uploaded.photos.count;{{count}} Photos Uploaded;Przesłałeś {count} zdjęć
msg.error.upload.blocked;The following photos were blocked due to sensitive content.;Poniższe zdjęcia zostały zablokowane z powodu wrażliwych treści.
msg.error.image.upload.size;Images cannot exceed {maxFileSize};Obrazy nie mogą przekraczać {maxFileSize}
msg.error.image.upload.extn;Sorry, the {fileExtn} image type is not supported.;Przepraszam, typ obrazu {fileExtn} nie jest obsługiwany.
msg.error.image.upload.smaller.dimensions;The image dimensions must be at least {{imageWidth}} x {{imageHeight}} pixels.;Wymiary obrazu muszą wynosić co najmniej {imageWidth} x {imageHeight} pikseli.
msg.error.image.upload.larger.dimensions;The image dimensions must not exceed {{imageWidth}} x {{imageHeight}} pixels.;Wymiary obrazu nie mogą przekraczać {imageWidth} x {imageHeight} pikseli.
msg.error.image.aspect.ratio;Sorry, this image doesn't match the specified aspect ratio.;Przepraszam, to zdjęcie nie pasuje do określonych proporcji.
lbl.crop;Crop;Przytnij
lbl.crop.image;Crop Image;Przytnij obraz
msg.error.profile.image.delete;Sorry, we could not delete the profile photo for <b>{memberName}</b>. Please contact {supportEmail} to resolve the issue.;Przepraszamy, nie udało się usunąć zdjęcia profilowego dla <b>{memberName}</b>. Skontaktuj się z {supportEmail}, aby rozwiązać problem.
msg.error.profile.image.upload;Sorry, we were unable to upload your profile photo. Please contact {supportEmail} to resolve the issue.;Przepraszamy, nie udało się przesłać Twojego zdjęcia profilowego. Skontaktuj się z {supportEmail}, aby rozwiązać problem.
lbl.delete.my.data;Delete My Data;Usuń moje dane
msg.error.unexpected;Sorry, an unexpected error has occurred. Please try again later. If the issue persists, contact us at {supportEmail}.;Przepraszam, wystąpił nieoczekiwany błąd. Spróbuj ponownie później. Jeśli problem będzie się powtarzał, skontaktuj się z nami pod adresem {supportEmail}.
lbl.features;Features;Funkcje
lbl.select.tickets;Select Tickets;Wybierz bilety
lbl.share.details;Share Details;Udostępnij szczegóły
lbl.complete.payment;Complete Payment;Opłać
lbl.view.request.status;View Request Status;Zobacz status prośby
lbl.cancel.registration;Cancel Registration;Anuluj rejestrację
lbl.choose.tickets;Choose Your Tickets;Wybierz swoje bilety
lbl.choose.session.tickets;Choose Your Sessions;Wybierz swoje sesje
lbl.request.placed;Request Placed;Zgłoszenie złożone
lbl.tickets.left;{available} Tickets Left;Pozostało {available} biletów
lbl.sales.ended;Sales Ended;Sprzedaż zakończona
msg.choose.tickets.empty;Please choose a ticket class to continue;Wybierz klasę biletu, aby kontynuować
lbl.your.order;Your Order;Twoje zamówienie
msg.no.cancellation.policy.text;Order cancellation not allowed;Anulowanie zamówienia niedozwolone
msg.cancellation.policy.help.text;You may request for cancellation on or before {exactDateStr};Możesz poprosić o anulowanie do {exactDateStr} włącznie
lbl.continue;Continue;Kontynuuj
msg.sales.end.on.date;Sales end on <b>{endDate}</b>;Sprzedaż kończy się <b>{endDate}</b>
msg.discount.rule.offers.quantity;Flat {discount} OFF on purchasing {count} or more tickets;Stała zniżka {discount} przy zakupie {count} lub więcej biletów
msg.discount.rule.offers.amount;Flat {discount} OFF on purchasing more than {count};Rabat {discount} przy zakupie więcej niż {count}
lbl.closed;Closed;Zamknięte
lbl.unavailable;Unavailable;Niedostępne
lbl.price;Price;Cena
lbl.total;Total;Suma
lbl.total.tickets;Total Tickets;Łączna liczba biletów
lbl.quantity;Quantity;Liczba
lbl.unpaid;Unpaid;nieopłacone
lbl.complimentary;Complimentary;Bezpłatny
lbl.copy.purchaser.information;Copy Purchaser Information;Skopiuj dane kupującego
lbl.ticket.info;Ticket Information;Informacje o bilecie
lbl.buyer.info;Buyer Information;Informacje o kupującym
lbl.request.info;Request Information;Poproś o informacje
lbl.place.order;Place Order;Złóż zamówienie
lbl.back.to.payment.method;Back to Payment Method;Wróć do metody płatności
lbl.pay.online;Pay Online;Zapłać online
lbl.pay.offline;Pay Offline;Zapłać offline
lbl.bank.transfer;Bank Transfer;Przelew bankowy
lbl.pay.at.venue;Pay at Venue;Zapłać na miejscu
lbl.pay.by.bank.transfer;Pay by Bank Transfer;Zapłać przelewem bankowym
lbl.pay.by.check;Pay by Check;Zapłać czekiem
msg.error.event.order.not.found;Event order not found;Nie znaleziono zamówienia na wydarzenie
lbl.payment.processing;Payment Processing;Przetwarzanie płatności
msg.order.reg.pending.subtitle;The payment for your order is being processed. We will send an email with the order details when the payment is processed.;Płatność za Twoje zamówienie jest przetwarzana. Wyślemy e-mail ze szczegółami zamówienia, gdy płatność zostanie zrealizowana.
msg.order.invoice.suc.subtitle;Your ticket purchase for <strong>{eventName}</strong> was successful. We've sent an email to <strong>{orderByEmail}</strong> with the tickets and the invoice. We're looking forward to seeing you!;Zakup biletu na <strong>{eventName}</strong> zakończył się sukcesem. Wysłaliśmy e-mail na adres <strong>{orderByEmail}</strong> z biletami i fakturą. Do zobaczenia!
msg.login.to.access.ticket;Sign in to access the ticket;Zaloguj się, aby uzyskać dostęp do biletu
msg.err.tickets.per.order.exceed;Sorry, one or more tickets that you are trying to purchase are unavailable at the moment;Przepraszam, jeden lub więcej biletów, które próbujesz kupić, jest obecnie niedostępnych
msg.order.registration.timeout;Your registration has timed out due to inactivity. Please try again.;Twoja rejestracja wygasła z powodu braku aktywności. Spróbuj ponownie.
msg.err.accept.tac;Please indicate that you've read and accepted the terms and conditions and privacy policy;Potwierdź, że przeczytałeś i akceptujesz regulamin oraz politykę prywatności
lbl.retry;Retry;Ponów próbę
lbl.retry.purchase;Retry Purchase;Ponów zakup
lbl.retry.payment;Retry Payment;Ponów płatność
lbl.retry.payment.title;Retry Payment?;Ponowić płatność?
msg.your.retry.payment.warnings;This action will restart the payment process. Please note that the status of prior initiated payments will not be tracked at the application end.<br><br>If you experience a duplicate charge, please contact the event organizer to resolve the issue.;Ta akcja uruchomi ponownie proces płatności. Status wcześniej rozpoczętych płatności nie będzie śledzony po stronie aplikacji.<br><br>W przypadku podwójnego obciążenia skontaktuj się z organizatorem wydarzenia w celu rozwiązania problemu.
msg.reassign.sure.txt;You have multiple tickets associated with your information, such as your name and email address. If you are lending a ticket to someone else, please reassign the ticket so that their details are printed on badges, and they'll be able to access their account on the event website and app.<br><br><strong> Would you like to reassign any tickets? </strong> </br></br>To reassign later, click <strong> Continue</strong>  now and access this option later by clicking <strong> Your Tickets</strong> in the top-right menu.;Masz kilka biletów powiązanych z Twoimi danymi, takimi jak imię i adres e-mail. Jeśli przekazujesz bilet innej osobie, przypisz go na nią, aby jej dane pojawiły się na identyfikatorze i mogła uzyskać dostęp do swojego konta na stronie i w aplikacji wydarzenia.<br><br><strong>Czy chcesz przekazać któryś z biletów?</strong></br></br>Aby zrobić to później, kliknij teraz <strong>Kontynuuj</strong> i skorzystaj z tej opcji później, wybierając <strong>Twoje bilety</strong> w menu w prawym górnym rogu.
lbl.download;Download;Pobierz
lbl.print;Print;Drukuj
lbl.resend.order.mail;Resend Order Mail;Wyślij ponownie maila z zamówieniem
lbl.event.info;Event Info;Informacje o wydarzeniu
lbl.discount.flat.fee;Discount (Flat Fee);Zniżka (stała opłata)
lbl.promotional.code;Promotional Code;Kod promocyjny
lbl.promotional.codes;Promotional Codes;Kody promocyjne
msg.promo.code.invalid;This promo code is invalid;Ten kod promocyjny jest nieprawidłowy
msg.promo.code.expired;This promo code has expired;Ten kod promocyjny wygasł
msg.email.not.eligible;You're not eligible to purchase {ticketClassName} tickets using this email address;Nie możesz kupić biletów {ticketClassName} używając tego adresu e-mail
msg.error.promo.code.redemptions.exceeded;This promo code is no longer available;Ten kod promocyjny nie jest już dostępny
msg.enter.promotional.code;Please enter promo code;Wprowadź kod promocyjny
lbl.apply;Apply;Zastosuj
lbl.remove;Remove;Usuń
lbl.actual;Actual;Rzeczywisty
msg.promotional.code.applied;Promotional code applied;Kod promocyjny zastosowany
msg.discount.rule.applied;Offer applied;Oferta zastosowana
msg.offer.next.step;If offers are applicable they will be applied on the next step;Jeśli oferty mają zastosowanie, zostaną naliczone w kolejnym kroku
msg.promocode.has.less.value.info;A better offer is available for your cart that will save you {discountVariation} more than the promo code you currently have applied.;Dla Twojego koszyka dostępna jest lepsza oferta, która pozwoli Ci zaoszczędzić o {discountVariation} więcej niż obecny kod promocyjny.
lbl.update.offer;Update Promotional Offer;Zaktualizuj ofertę promocyjną
msg.update.offer.desc;The applied promotional code will result in lesser discount than the previous discount that was applied. Do you want to still continue with the promotional code you applied?;Zastosowany kod promocyjny daje mniejszy rabat niż poprzedni. Czy chcesz nadal użyć tego kodu promocyjnego?
msg.promotional.code.unutilized;Promotional code not utilized;Nie wykorzystałeś kodu promocyjnego
msg.err.access.promo.code.invalid.email;The <b>{promoCodeName}</b> promo code is not associated with the entered email address;Kod promocyjny <b>{promoCodeName}</b> nie jest powiązany z podanym adresem e-mail
msg.promo.code.email.required.warn;Please enter the email address;Wprowadź adres e-mail
msg.unlock;Unlock;Odblokuj
ticket.sales.closed;Ticket sales closed;Sprzedaż biletów zakończona
msg.tickets.locked;Tickets are locked;Bilety są zablokowane
msg.access.code.to.unlock.ticket;Please enter an access code to unlock hidden tickets;Wprowadź kod dostępu, aby odblokować ukryte bilety
msg.enter.access.code;Enter your access code;Wprowadź swój kod dostępu
lbl.grand.total;Grand Total;Suma całkowita
lbl.purchased.by;Purchased By;Zakupione przez
lbl.no.of.tickets;No. of Tickets;Liczba biletów
lbl.assignee.name;Assignee Name;Imię i nazwisko przypisanego
lbl.assignee.email;Assignee Email;Email przypisanego
lbl.assigner.name;Assigner's Name;Imię i nazwisko przypisującego
lbl.assigner.email;Assigner's Email;Email przypisującego
lbl.attendee.name;Attendee Name;Imię i nazwisko uczestnika
lbl.attendee.email;Attendee Email Address;adres e-mail uczestnika
lbl.buyer.name;Buyer Name;Imię i nazwisko kupującego
lbl.buyer.email;Buyer Email;Email kupującego
lbl.reassign.ticket;Reassign Ticket;Przypisz ponownie bilet
lbl.edit.details;Edit Details;Edytuj szczegóły
lbl.edit.ticket;Edit Ticket;Edytuj bilet
lbl.phone.number;Phone Number;Numer telefonu
lbl.select.all;Select All;Zaznacz wszystko
lbl.total.refund.amount;Total Amount to Be Refunded;Łączna kwota do zwrotu
msg.refund.info.tooltip;Your refund request will be processed based on the payment method you've selected to purchase your order. If refund is not processed, please contact the event organizer.;Twoja prośba o zwrot zostanie rozpatrzona zgodnie z metodą płatności wybraną przy zakupie zamówienia. Jeśli zwrot nie zostanie zrealizowany, skontaktuj się z organizatorem wydarzenia.
lbl.cancel.refund.history;Cancel and Refund History;Historia anulowań i zwrotów
lbl.upgrade.and.downgrade.history;Upgrades and Downgrades History;Historia aktualizacji i obniżeń
downgrade.refund.header;No Refund on Ticket Exchange;Brak zwrotu przy wymianie biletu
downgrade.refund.desc;<strong>Please note:</strong> When changing your ticket, any fare difference will not be refunded. Do you still want to proceed with the exchange?;<strong>Uwaga:</strong> Przy zmianie biletu różnica w cenie nie będzie zwracana. Czy chcesz kontynuować wymianę?
lbl.cancellation.details;Cancellation Details;Szczegóły anulowania
msg.ticket.canceled;This ticket has been canceled;Ten bilet został anulowany
lbl.refunded;Refunded;Zwrócono
lbl.refunded.on;Refunded On;Zwrócono dnia
lbl.partially.refunded;Partially Refunded;Częściowo zwrócono
lbl.partially.canceled;Partially Canceled;Częściowo anulowano
lbl.no.of.tickets.refunded;Total Tickets Refunded;Łącznie zwróconych biletów
msg.info.no.cancellation.policy;<b>No cancellation policy:</b> Order cancellation not allowed.;<b>Brak polityki anulowania:</b> Anulowanie zamówienia niedozwolone.
msg.info.cancellation.policy;<b>{day}-day cancellation policy:</b> You may request for cancellation on or before {exactDateStr}.;<b>{day}-dniowa polityka anulowania:</b> Możesz poprosić o anulowanie do {exactDateStr} włącznie.
msg.error.reason.required;Please enter a reason;Podaj powód
lbl.cancel.order;Cancel Order;Anuluj zamówienie
lbl.refund.order;Refund Order;Zwróć zamówienie
lbl.cancel.your.order;Cancel Your Order;Anuluj swoje zamówienie
lbl.refund.your.order;Refund Your Order;Zwróć swoje zamówienie
lbl.send.mail.attendee;Send Email to Attendee;Wyślij e-mail do uczestnika
lbl.download.tickets;Download Tickets;Pobierz bilety
lbl.print.tickets;Print Tickets;Drukuj bilety
lbl.download.invoice;Download Invoice;Pobierz fakturę
lbl.order.summary;Order Summary;Podsumowanie zamówienia
msg.tickets.cant.be.downloaded.due.to.unpaid.status.tooltip;Tickets can't be downloaded due to unpaid status;Nie możesz pobrać biletów z powodu nieopłaconego statusu
msg.tickets.cant.be.printed.due.to.unpaid.status.tooltip;Tickets can't be printed due to unpaid status;Nie można wydrukować biletów z powodu nieopłaconego statusu
msg.member.profile.successfully.saved;Profile saved;Profil zapisany
msg.error.attendee.profile.save.fail;Sorry, the attendee profile could not be saved. Please refresh the page to try again.;Nie udało się zapisać profilu uczestnika. Odśwież stronę i spróbuj ponownie.
msg.error.attendee.phone.invalid;Please enter only digits for the contact number;Wprowadź tylko cyfry dla numeru kontaktowego
msg.error.user.profile.phone.too.long;Phone number can't exceed 15 characters;Numer telefonu nie może mieć więcej niż 15 znaków
msg.ticket.reassign.success;Ticket has been reassigned;Bilet został przypisany ponownie
msg.error.attendee.ticket.reassign;Sorry, we could not reassign the ticket. Please refresh the page to try again.;Nie udało się ponownie przypisać biletu. Odśwież stronę, aby spróbować ponownie.
msg.success.order.cancel;Your registrations have been canceled;Twoje rejestracje zostały anulowane
msg.success.order.refund;The refund for your registrations has been processed;Zwrot za Twoje rejestracje został zrealizowany
msg.buyer.resend.ticket.mail.error;Sorry, we couldn't resend the ticket details via email. Please try resending the email later.;Nie udało się ponownie wysłać szczegółów biletu e-mailem. Spróbuj ponownie później.
msg.buyer.resend.invoice.mail.success;Order invoice email successfully resent to buyer;Fakturę za zamówienie ponownie wysłano do kupującego
msg.buyer.resend.invoice.mail.error;Sorry, we couldn't resend the order invoice. Please try resending the email later.;Przepraszam, nie udało się ponownie wysłać faktury za zamówienie. Spróbuj wysłać e-mail później.
msg.attendee.resend.ticket.mail.success;Ticket details resent via email to the attendee;Szczegóły biletu ponownie wysłane e-mailem do uczestnika
msg.error.attendee.resend.ticket.mail;Sorry, we couldn't resend the ticket details via email to the attendee.;Przepraszam, nie udało się ponownie wysłać szczegółów biletu e-mailem do uczestnika.
msg.error.attendee.download.ticket;Sorry, we couldn't download the ticket now. Please try again later.;Przepraszam, nie udało się teraz pobrać biletu. Spróbuj ponownie później.
msg.error.attendee.print.ticket;Sorry, we couldn't print the ticket. Please try again later.;Przepraszam, nie udało się wydrukować biletu. Spróbuj ponownie później.
msg.error.attendee.view.ticket;Sorry, we couldn't fetch the ticket details. Please try again later.;Przepraszam, nie udało się pobrać szczegółów biletu. Spróbuj ponownie później.
msg.error.order.comment.required;Please enter comment for the order;Wpisz komentarz do zamówienia
lbl.download.order.invoice;Download Order Invoice;Pobierz fakturę zamówienia
lbl.print.order.invoice;Print Order Invoice;Drukuj fakturę zamówienia
lbl.reassign.tickets;Reassign Ticket(s);Przypisz ponownie bilet(y)
msg.order.edit.success;Your ticket order is updated;Twoje zamówienie na bilet zostało zaktualizowane
msg.order.edit.error;Sorry, we couldn't update the changes made to your ticket order. Please try editing your order again later.;Nie udało się zaktualizować zmian w Twoim zamówieniu na bilet. Spróbuj edytować zamówienie ponownie później.
msg.ticket.attendee.edit.success;Attendee's profile is updated;Profil uczestnika został zaktualizowany
msg.try.it.on.app;Try it on the app;Wypróbuj w aplikacji
msg.branding.copyright.content;Copyright {eventYear} {portalName};Copyright {eventYear} {portalName}
msg.your.orders.header;Orders you made for <strong>{eventName}</strong>;Twoje zamówienia na <strong>{eventName}</strong>
ticket.class.transition;Ticket class changed from <strong>{{oldTicketClassName}}</strong> to <strong>{{newTicketClassName}}</strong> for attendee with <strong> Ticket ID : {{ticketId}}</strong> on <strong>{{transitionedDate}}</strong>;Klasa biletu zmieniona z <strong>{{oldTicketClassName}}</strong> na <strong>{{newTicketClassName}}</strong> dla uczestnika z <strong>ID biletu: {{ticketId}}</strong> w dniu <strong>{{transitionedDate}}</strong>
msg.your.sessions.header;Sessions you've registered for in <strong>{eventName}</strong>;Sesje, na które się zarejestrowałeś w <strong>{eventName}</strong>
msg.buyer.attendee.email.not.allowed.for.event;One or more of the email addresses provided can't be used for ticket registration. Please contact the event organizer for more information.;Jeden lub więcej podanych adresów e-mail nie może zostać użyty do rejestracji biletu. Skontaktuj się z organizatorem wydarzenia po więcej informacji.
msg.attendee.email.not.allowed.for.event;You can't reassign the ticket to this email address. Please contact the event organizer for more information.;Nie możesz przypisać biletu do tego adresu e-mail. Skontaktuj się z organizatorem wydarzenia po więcej informacji.
msg.attendee.reassign.not.allowed.for.rsvp.event;You can't reassign the ticket to this email address as this is an RSVP event. Please contact the event organizer for more information.;Nie możesz przypisać ponownie biletu do tego adresu e-mail, ponieważ to wydarzenie RSVP. Skontaktuj się z organizatorem wydarzenia po więcej informacji.
msg.attendee.email.tranfer.not.allowed.for.event;You can't reassign the ticket. Please contact the event organizer for more information.;Nie możesz ponownie przypisać biletu. Skontaktuj się z organizatorem wydarzenia, aby uzyskać więcej informacji.
msg.error.attendee.first.name.required;Please enter the first name of the attendee;Wpisz imię uczestnika
lbl.data.privacy;Data Privacy;Prywatność danych
msg.raise.data.request;When you request access to your data, a downloadable file with all your personal information will be sent to your registered email address.;Po zgłoszeniu prośby o dostęp do swoich danych otrzymasz na zarejestrowany adres e-mail plik do pobrania ze wszystkimi Twoimi danymi osobowymi.
msg.raise.data.delete.request.info;When you make a data deletion request your personal data will be deleted once the event team approves the request.;Po złożeniu prośby o usunięcie danych Twoje dane osobowe zostaną usunięte po zatwierdzeniu przez zespół wydarzenia.
msg.manage.personal.data;Manage your personal data in the <b>{portalName}</b> hub;Zarządzaj swoimi danymi osobowymi w centrum <b>{portalName}</b>
msg.error.attendee.profile.save;Sorry, your profile couldn't be updated. Please refresh the page and try again.;Przepraszam, nie udało się zaktualizować Twojego profilu. Odśwież stronę i spróbuj ponownie.
msg.error.process.data.request;Sorry, we couldn't process the request for your data. Please refresh the page and try again.;Przepraszam, nie udało się przetworzyć Twojego żądania dotyczącego danych. Odśwież stronę i spróbuj ponownie.
msg.skills.separated.by.comma;Use a comma (,) to separate multiple skills;Użyj przecinka (,) do oddzielenia kilku umiejętności
msg.account.settings.help.text;These settings apply to all events under <b>{domain}</b>.;Te ustawienia dotyczą wszystkich wydarzeń w <b>{domain}</b>.
msg.error.profile.first.name.empty;Please enter a first name for your profile;Podaj imię do swojego profilu
msg.error.profile.first.name.not.valid;"Your profile can't have "", <, or > in the first name";"Twoje imię nie może zawierać "", < ani >"
msg.error.profile.first.name.too.long;Your first name can't exceed 100 characters;Twoje imię nie może mieć więcej niż 100 znaków
msg.error.profile.last.name.not.valid;"Your profile can't have "", <, or > in the last name";"Twoje nazwisko nie może zawierać "", < ani >"
msg.error.profile.last.name.too.long;Your last name can't exceed 100 characters;Twoje nazwisko nie może mieć więcej niż 100 znaków
msg.error.profile.salutation.not.valid;"Your profile can't have "", <, or > in the last name";"Twoje nazwisko nie może zawierać "", < ani >"
msg.error.profile.salutation.too.long;Your last name can't exceed 100 characters;Twoje nazwisko nie może mieć więcej niż 100 znaków
msg.error.profile.organization.too.long;Your organization name can't exceed 255 characters;Nazwa organizacji nie może mieć więcej niż 255 znaków
msg.error.profile.designation.too.long;Your designation name can't exceed 255 characters;Nazwa stanowiska nie może przekraczać 255 znaków
msg.event.member.description.too.long;The description for the event member cannot exceed 10000 characters;Opis uczestnika wydarzenia nie może przekraczać 10000 znaków
msg.event.member.skills.too.long;The skills you have entered for the event member cannot exceeds 250 characters;Umiejętności uczestnika wydarzenia nie mogą przekraczać 250 znaków
msg.error.profile.address.too.long;Your address can't exceed 500 characters;Twój adres nie może przekraczać 500 znaków
msg.error.profile.address.not.valid;Please enter a valid address;Wprowadź poprawny adres
lbl.type.a.message;Type a Message;Wpisz wiadomość
lbl.view.photo;View Photo;Zobacz zdjęcie
msg.want.to.sign.out;Do you wish to Sign out?;Czy chcesz się wylogować?
msg.phone.not.added;Phone number not added;Nie dodano numeru telefonu
msg.address.not.added;Address not added;Adres nie został dodany
lbl.choose.from.gallery;Choose from Gallery;Wybierz z galerii
lbl.take.photo;Take Photo;Zrób zdjęcie
msg.profile.photo.delete.confirm;Do you want to delete the profile picture?;Czy chcesz usunąć zdjęcie profilowe?
msg.refund.order.confirmation.summary.text;You have requested a refund for your order with receipt number <strong>{receiptId}</strong> which amounts to <strong>{totalCost}</strong> for <strong>{totalTickets} ticket(s)</strong>.;Poprosiłeś o zwrot za zamówienie z numerem paragonu <strong>{receiptId}</strong> na kwotę <strong>{totalCost}</strong> za <strong>{totalTickets} bilet(ów)</strong>.
msg.cancel.order.confirmation.summary.text;You have requested for a cancellation of your order with <strong>{totalTickets} ticket(s)</strong>.;Poprosiłeś o anulowanie swojego zamówienia z <strong>{totalTickets} biletem/biletami</strong>.
msg.refund.order.confirmation.text;Would you like to proceed with the refund request?;Czy chcesz kontynuować żądanie zwrotu?
msg.cancel.order.confirmation.text;Would you like to proceed with the cancellation?;Czy chcesz kontynuować anulowanie?
msg.refund.order.success.text;Your order has been refunded;Twoje zamówienie zostało zwrócone
msg.cancel.order.success.text;Your order has been canceled;Twoje zamówienie zostało anulowane
msg.refund.order.success.confirmation.text;An email has been sent confirming the refund for your order;Wysłaliśmy e-mail z potwierdzeniem zwrotu za Twoje zamówienie
msg.cancel.order.success.confirmation.text;An email has been sent confirming the cancellation of your order;Wysłano e-mail potwierdzający anulowanie zamówienia
lbl.refund.in.progress;Refund in Progress;Zwrot w toku
msg.ticket.cancel.reason;Reason for cancellation;Powód anulowania
msg.ticket.refund.reason;Reason for refund;Powód zwrotu
msg.order.refund.mail.sent;An email will be sent to your registered email address with the order refund details;Na Twój zarejestrowany adres e-mail zostaną wysłane szczegóły zwrotu zamówienia
msg.order.cancel.mail.sent;An email will be sent to your registered email address with the order cancellation details;Na Twój zarejestrowany adres e-mail zostaną wysłane szczegóły anulowania zamówienia
lbl.go.to.home.page;Go to Home Page;Przejdź do strony głównej
msg.link.expired;The link you're trying to access has expired;Link, do którego próbujesz uzyskać dostęp, wygasł
msg.order.cancelled.already;Your order has been canceled already;Twoje zamówienie zostało już anulowane
msg.order.refunded.already;Your order has been refunded already;Twoje zamówienie już zostało zwrócone
msg.error.order.refund;You can't request a refund for this order. Please contact the event organizer for more details.;Nie możesz poprosić o zwrot za to zamówienie. Skontaktuj się z organizatorem wydarzenia po więcej informacji.
msg.error.order.cancel;You can't request a cancellation for this order. Please contact the event organizer for more details.;Nie możesz zgłosić anulowania tego zamówienia. Skontaktuj się z organizatorem wydarzenia po więcej informacji.
msg.error.organizer.order.cancel;Sorry, we couldn't cancel this order. Please try again later.;Przepraszam, nie udało się anulować tego zamówienia. Spróbuj ponownie później.
