Reference Key;Default Language;pl
msg.cancellation.policy.help.text;You may request for cancellation on or before {exactDateStr};
lbl.continue;Continue;
msg.sales.end.on.date;Sales end on <b>{endDate}</b>;
msg.discount.rule.offers.quantity;Flat {discount} OFF on purchasing {count} or more tickets;
msg.discount.rule.offers.amount;Flat {discount} OFF on purchasing more than {count};
lbl.closed;Closed;
lbl.unavailable;Unavailable;
lbl.price;Price;
lbl.total;Total;
lbl.total.tickets;Total Tickets;
lbl.quantity;Quantity;
lbl.unpaid;Unpaid;
lbl.complimentary;Complimentary;
lbl.copy.purchaser.information;Copy Purchaser Information;
lbl.ticket.info;Ticket Information;
lbl.buyer.info;Buyer Information;
lbl.request.info;Request Information;
lbl.place.order;Place Order;
lbl.back.to.payment.method;Back to Payment Method;
lbl.pay.online;Pay Online;
lbl.pay.offline;Pay Offline;
lbl.bank.transfer;Bank Transfer;
lbl.pay.at.venue;Pay at Venue;
lbl.pay.by.bank.transfer;Pay by Bank Transfer;
lbl.pay.by.check;Pay by Check;
msg.error.event.order.not.found;Event order not found;
lbl.payment.processing;Payment Processing;
msg.order.reg.pending.subtitle;The payment for your order is being processed. We will send an email with the order details when the payment is processed.;
msg.order.invoice.suc.subtitle;Your ticket purchase for <strong>{eventName}</strong> was successful. We've sent an email to <strong>{orderByEmail}</strong> with the tickets and the invoice. We're looking forward to seeing you!;
msg.login.to.access.ticket;Sign in to access the ticket;
msg.err.tickets.per.order.exceed;Sorry, one or more tickets that you are trying to purchase are unavailable at the moment;
msg.order.registration.timeout;Your registration has timed out due to inactivity. Please try again.;
msg.err.accept.tac;Please indicate that you've read and accepted the terms and conditions and privacy policy;
lbl.retry;Retry;
lbl.retry.purchase;Retry Purchase;
lbl.retry.payment;Retry Payment;
lbl.retry.payment.title;Retry Payment?;
msg.your.retry.payment.warnings;This action will restart the payment process. Please note that the status of prior initiated payments will not be tracked at the application end.<br><br>If you experience a duplicate charge, please contact the event organizer to resolve the issue.;
msg.reassign.sure.txt;You have multiple tickets associated with your information, such as your name and email address. If you are lending a ticket to someone else, please reassign the ticket so that their details are printed on badges, and they'll be able to access their account on the event website and app.<br><br><strong> Would you like to reassign any tickets? </strong> </br></br>To reassign later, click <strong> Continue</strong>  now and access this option later by clicking <strong> Your Tickets</strong> in the top-right menu.;
lbl.download;Download;
lbl.print;Print;
lbl.resend.order.mail;Resend Order Mail;
lbl.event.info;Event Info;
lbl.discount.flat.fee;Discount (Flat Fee);
lbl.promotional.code;Promotional Code;
lbl.promotional.codes;Promotional Codes;
msg.promo.code.invalid;This promo code is invalid;
msg.promo.code.expired;This promo code has expired;
msg.email.not.eligible;You're not eligible to purchase {ticketClassName} tickets using this email address;
msg.error.promo.code.redemptions.exceeded;This promo code is no longer available;
msg.enter.promotional.code;Please enter promo code;
lbl.apply;Apply;
lbl.remove;Remove;
lbl.actual;Actual;
msg.promotional.code.applied;Promotional code applied;
msg.discount.rule.applied;Offer applied;
msg.offer.next.step;If offers are applicable they will be applied on the next step;
msg.promocode.has.less.value.info;A better offer is available for your cart that will save you {discountVariation} more than the promo code you currently have applied.;
lbl.update.offer;Update Promotional Offer;
msg.update.offer.desc;The applied promotional code will result in lesser discount than the previous discount that was applied. Do you want to still continue with the promotional code you applied?;
msg.promotional.code.unutilized;Promotional code not utilized;
msg.err.access.promo.code.invalid.email;The <b>{promoCodeName}</b> promo code is not associated with the entered email address;
msg.promo.code.email.required.warn;Please enter the email address;
msg.unlock;Unlock;
ticket.sales.closed;Ticket sales closed;
msg.tickets.locked;Tickets are locked;
msg.access.code.to.unlock.ticket;Please enter an access code to unlock hidden tickets;
msg.enter.access.code;Enter your access code;
lbl.grand.total;Grand Total;
lbl.purchased.by;Purchased By;
lbl.no.of.tickets;No. of Tickets;
lbl.assignee.name;Assignee Name;
lbl.assignee.email;Assignee Email;
lbl.assigner.name;Assigner's Name;
lbl.assigner.email;Assigner's Email;
lbl.attendee.name;Attendee Name;
lbl.attendee.email;Attendee Email Address;
lbl.buyer.name;Buyer Name;
lbl.buyer.email;Buyer Email;
lbl.reassign.ticket;Reassign Ticket;
lbl.edit.details;Edit Details;
lbl.edit.ticket;Edit Ticket;
lbl.phone.number;Phone Number;
lbl.select.all;Select All;
lbl.total.refund.amount;Total Amount to Be Refunded;
msg.refund.info.tooltip;Your refund request will be processed based on the payment method you've selected to purchase your order. If refund is not processed, please contact the event organizer.;
lbl.cancel.refund.history;Cancel and Refund History;
lbl.upgrade.and.downgrade.history;Upgrades and Downgrades History;
downgrade.refund.header;No Refund on Ticket Exchange;
downgrade.refund.desc;<strong>Please note:</strong> When changing your ticket, any fare difference will not be refunded. Do you still want to proceed with the exchange?;
lbl.cancellation.details;Cancellation Details;
msg.ticket.canceled;This ticket has been canceled;
lbl.refunded;Refunded;
lbl.refunded.on;Refunded On;
lbl.partially.refunded;Partially Refunded;
lbl.partially.canceled;Partially Canceled;
lbl.no.of.tickets.refunded;Total Tickets Refunded;
msg.info.no.cancellation.policy;<b>No cancellation policy:</b> Order cancellation not allowed.;
msg.info.cancellation.policy;<b>{day}-day cancellation policy:</b> You may request for cancellation on or before {exactDateStr}.;
msg.error.reason.required;Please enter a reason;
lbl.cancel.order;Cancel Order;
lbl.refund.order;Refund Order;
lbl.cancel.your.order;Cancel Your Order;
lbl.refund.your.order;Refund Your Order;
lbl.send.mail.attendee;Send Email to Attendee;
lbl.download.tickets;Download Tickets;
lbl.print.tickets;Print Tickets;
lbl.download.invoice;Download Invoice;
lbl.order.summary;Order Summary;
msg.tickets.cant.be.downloaded.due.to.unpaid.status.tooltip;Tickets can't be downloaded due to unpaid status;
msg.tickets.cant.be.printed.due.to.unpaid.status.tooltip;Tickets can't be printed due to unpaid status;
msg.member.profile.successfully.saved;Profile saved;
msg.error.attendee.profile.save.fail;Sorry, the attendee profile could not be saved. Please refresh the page to try again.;
msg.error.attendee.phone.invalid;Please enter only digits for the contact number;
msg.error.user.profile.phone.too.long;Phone number can't exceed 15 characters;
msg.ticket.reassign.success;Ticket has been reassigned;
msg.error.attendee.ticket.reassign;Sorry, we could not reassign the ticket. Please refresh the page to try again.;
msg.success.order.cancel;Your registrations have been canceled;
msg.success.order.refund;The refund for your registrations has been processed;
msg.buyer.resend.ticket.mail.error;Sorry, we couldn't resend the ticket details via email. Please try resending the email later.;
msg.buyer.resend.invoice.mail.success;Order invoice email successfully resent to buyer;
msg.buyer.resend.invoice.mail.error;Sorry, we couldn't resend the order invoice. Please try resending the email later.;
msg.attendee.resend.ticket.mail.success;Ticket details resent via email to the attendee;
msg.error.attendee.resend.ticket.mail;Sorry, we couldn't resend the ticket details via email to the attendee.;
msg.error.attendee.download.ticket;Sorry, we couldn't download the ticket now. Please try again later.;
msg.error.attendee.print.ticket;Sorry, we couldn't print the ticket. Please try again later.;
msg.error.attendee.view.ticket;Sorry, we couldn't fetch the ticket details. Please try again later.;
msg.error.order.comment.required;Please enter comment for the order;
lbl.download.order.invoice;Download Order Invoice;
lbl.print.order.invoice;Print Order Invoice;
lbl.reassign.tickets;Reassign Ticket(s);
msg.order.edit.success;Your ticket order is updated;
msg.order.edit.error;Sorry, we couldn't update the changes made to your ticket order. Please try editing your order again later.;
msg.ticket.attendee.edit.success;Attendee's profile is updated;
msg.try.it.on.app;Try it on the app;
msg.branding.copyright.content;Copyright {eventYear} {portalName};
msg.your.orders.header;Orders you made for <strong>{eventName}</strong>;
ticket.class.transition;Ticket class changed from <strong>{{oldTicketClassName}}</strong> to <strong>{{newTicketClassName}}</strong> for attendee with <strong> Ticket ID : {{ticketId}}</strong> on <strong>{{transitionedDate}}</strong>;
msg.your.sessions.header;Sessions you've registered for in <strong>{eventName}</strong>;
msg.buyer.attendee.email.not.allowed.for.event;One or more of the email addresses provided can't be used for ticket registration. Please contact the event organizer for more information.;
msg.attendee.email.not.allowed.for.event;You can't reassign the ticket to this email address. Please contact the event organizer for more information.;
msg.attendee.reassign.not.allowed.for.rsvp.event;You can't reassign the ticket to this email address as this is an RSVP event. Please contact the event organizer for more information.;
msg.attendee.email.tranfer.not.allowed.for.event;You can't reassign the ticket. Please contact the event organizer for more information.;
msg.error.attendee.first.name.required;Please enter the first name of the attendee;
lbl.data.privacy;Data Privacy;
msg.raise.data.request;When you request access to your data, a downloadable file with all your personal information will be sent to your registered email address.;
msg.raise.data.delete.request.info;When you make a data deletion request your personal data will be deleted once the event team approves the request.;
msg.manage.personal.data;Manage your personal data in the <b>{portalName}</b> hub;
msg.error.attendee.profile.save;Sorry, your profile couldn't be updated. Please refresh the page and try again.;
msg.error.process.data.request;Sorry, we couldn't process the request for your data. Please refresh the page and try again.;
msg.skills.separated.by.comma;Use a comma (,) to separate multiple skills;
msg.account.settings.help.text;These settings apply to all events under <b>{domain}</b>.;
msg.error.profile.first.name.empty;Please enter a first name for your profile;
msg.error.profile.first.name.not.valid;"Your profile can't have "", <, or > in the first name";
msg.error.profile.first.name.too.long;Your first name can't exceed 100 characters;
msg.error.profile.last.name.not.valid;"Your profile can't have "", <, or > in the last name";
msg.error.profile.last.name.too.long;Your last name can't exceed 100 characters;
msg.error.profile.salutation.not.valid;"Your profile can't have "", <, or > in the last name";
msg.error.profile.salutation.too.long;Your last name can't exceed 100 characters;
msg.error.profile.organization.too.long;Your organization name can't exceed 255 characters;
msg.error.profile.designation.too.long;Your designation name can't exceed 255 characters;
msg.event.member.description.too.long;The description for the event member cannot exceed 10000 characters;
msg.event.member.skills.too.long;The skills you have entered for the event member cannot exceeds 250 characters;
msg.error.profile.address.too.long;Your address can't exceed 500 characters;
msg.error.profile.address.not.valid;Please enter a valid address;
lbl.type.a.message;Type a Message;
lbl.view.photo;View Photo;
msg.want.to.sign.out;Do you wish to Sign out?;
msg.phone.not.added;Phone number not added;
msg.address.not.added;Address not added;
lbl.choose.from.gallery;Choose from Gallery;
lbl.take.photo;Take Photo;
msg.profile.photo.delete.confirm;Do you want to delete the profile picture?;
msg.refund.order.confirmation.summary.text;You have requested a refund for your order with receipt number <strong>{receiptId}</strong> which amounts to <strong>{totalCost}</strong> for <strong>{totalTickets} ticket(s)</strong>.;
msg.cancel.order.confirmation.summary.text;You have requested for a cancellation of your order with <strong>{totalTickets} ticket(s)</strong>.;
msg.refund.order.confirmation.text;Would you like to proceed with the refund request?;
msg.cancel.order.confirmation.text;Would you like to proceed with the cancellation?;
msg.refund.order.success.text;Your order has been refunded;
msg.cancel.order.success.text;Your order has been canceled;
msg.refund.order.success.confirmation.text;An email has been sent confirming the refund for your order;
msg.cancel.order.success.confirmation.text;An email has been sent confirming the cancellation of your order;
lbl.refund.in.progress;Refund in Progress;
msg.ticket.cancel.reason;Reason for cancellation;
msg.ticket.refund.reason;Reason for refund;
msg.order.refund.mail.sent;An email will be sent to your registered email address with the order refund details;
msg.order.cancel.mail.sent;An email will be sent to your registered email address with the order cancellation details;
lbl.go.to.home.page;Go to Home Page;
msg.link.expired;The link you're trying to access has expired;
msg.order.cancelled.already;Your order has been canceled already;
msg.order.refunded.already;Your order has been refunded already;
msg.error.order.refund;You can't request a refund for this order. Please contact the event organizer for more details.;
msg.error.order.cancel;You can't request a cancellation for this order. Please contact the event organizer for more details.;
msg.error.organizer.order.cancel;Sorry, we couldn't cancel this order. Please try again later.;
msg.error.organizer.order.refund;Sorry, we couldn't process the refund for this order. Please try again later.;
msg.chnl.leave.confirm;Do you want to leave this channel?;
lbl.billing.address;Billing Address;
lbl.individuals;Individual;
lbl.tax.registration.number;Tax Registration Number;
lbl.street;Street;
lbl.address.line.1;Address Line 1;
lbl.address.line.2;Address Line 2;
lbl.city;City;
lbl.state;State;
lbl.country;Country;
lbl.zip.code;Zip Code;
msg.business.invoice.need.text;Would you like a business invoice?;
msg.business.invoice.desc.sub.text;Please fill the details below to get a business invoice for your ticket(s).;
msg.enter.valid.email;Enter a valid email address;
msg.enter.your.first.name;Enter your first name;
msg.enter.your.last.name;Enter your last name;
msg.enter.your.phone.number;Enter your phone number;
msg.enter.your.company.individual.name;Please enter the company name or individual's name;
msg.enter.your.street.address.1;Enter your house number, apartment, floor, or building;
msg.enter.your.street.address.2;Enter your street, colony, or locality;
msg.enter.your.city;Enter your city name;
msg.enter.your.state;Enter your state name;
msg.select.state;Select state;
msg.select.country;Select country;
msg.enter.your.zip.code;Enter your zip code;
msg.error.billing.addr.name.invalid;The company name or individual's name contains one or more invalid characters;
msg.error.billing.addr.name.too.long;The company name or individual's name can't exceed 255 characters;
msg.error.street.addr.1.enter;Please enter Address Line 1;
msg.error.street.addr.1.invalid;Address Line 1 contains one or more invalid characters;
msg.error.street.addr.1.too.long;Address Line 1 can't exceed 255 characters;
msg.error.street.addr.2.enter;Please enter Address Line 2;
msg.error.street.addr.2.invalid;Address Line 2 contains one or more invalid characters;
msg.error.street.addr.2.too.long;Address Line 2 can't exceed 255 characters;
msg.error.state.enter;Please fill the state;
msg.venue.city.too.long;The city name cannot exceed 50 characters;
msg.venue.city.spl.chars;The city name includes special characters;
msg.venue.state.without.spl.chars;The state name includes special characters;
msg.venue.state.too.long;The state name cannot exceed 50 characters;
msg.venue.zipcode.enter;You have not entered the zip code;
msg.venue.zipcode.without.spl.chars;Zip codes can only include numbers and hyphens (-). No other special characters are allowed.;
msg.venue.zipcode.too.long;The zip code cannot exceed 10 characters;
msg.venue.country.code.not.valid;The country code must be in ISO Alpha-2 format. (For example, UN, IN, etc.);
msg.site.error.order.refund.failure.stripe.insufficient.funds;We are trying to process your refund request and we will keep informed once the request is processed. We appreciate your patience and understanding.;
msg.error.tax.registration.number.enter;Please enter your tax registration number;
msg.error.tax.registration.number.invalid;You have entered an invalid tax registration number;
msg.error.tax.registration.number.too.long;The tax registration number can't exceed 30 characters;
msg.tax.id.purpose.text;Providing your tax registration number allows you to claim tax;
lbl.email.settings;Email Settings;
lbl.promotional.emails;Promotional Emails;
msg.email.settings.help.text;We send you emails to help you stay connected to the event. You can enable or disable these emails below to update your email preferences.;
msg.promotional.mail.subscribe.success;Subscribed successfully;
msg.promotional.mail.subscribe.cancel;Subscribtion canceled;
msg.error.promotional.mail.subscribe.status;Sorry, we are unable to update your email subscription. Please try again later.;
lbl.edit.profile;Edit Profile;
lbl.ticket.sales.ended;Ticket Sales Ended;
lbl.ticket.sales.started;Ticket Sales Started;
lbl.normal;Normal;
lbl.medium;Medium;
lbl.large;Large;
lbl.huge;Huge;
lbl.underline;Underline;
lbl.bullet.list;Bulleted List;
lbl.number.list;Numbered List;
lbl.remove.formatting;Remove Formatting;
msg.error.order.invoice.download;Sorry, we couldn't download your order invoice. Please try again later.;
msg.error.order.invoice.print;Sorry, we couldn't print your order invoice. Please try again later.;
msg.error.order.download.tickets;Sorry, we couldn't download your order. Please try again later.;
msg.error.order.print.tickets;Sorry, we couldn't print your order. Please try again later.;
msg.buyer.resend.order.mail.success;Order details resent via email;
error.msg.buyer.resend.order.mail;Sorry, we couldn't resend the order details via email. Please try resending the email later.;
lbl.calendar.view;Calendar View;
lbl.terms.of.use;Terms of Use;
lbl.privacy.policy;Privacy Policy;
lbl.contact.organizer;Contact Organizer;
msg.manage.footer.elements;Manage footer elements;
msg.error.tac.loading;Sorry, the Terms and Policies could not be loaded. Please try again later.;
msg.err.exprd.cncl.ordr.lnk;Oops! Looks like the link to cancel the order has expired.  Please try signing again with your email address or ticket ID and head to My Tickets to cancel your ticket order.;
lbl.cancel.request;Cancel Request;
lbl.cancel.previous.request;Cancel Previous Request;
lbl.switch.meeting;Switch Meeting;
lbl.last.request.on;Last Requested On;
msg.user.request.data.archive.success;Data access request sent;
msg.error.user.request.data.archive;Sorry, your data access request couldn't be sent. Please try again later.;
msg.user.request.access.cancel.success;Data access request canceled;
msg.error.request.archive.cancel;Sorry, your data access request couldn't be canceled. Please try again later.;
msg.user.request.delete.data.success;Data deletion request sent;
msg.error.user.request.delete.data;Sorry, your data deletion request couldn't be sent. Please try again later.;
msg.user.request.delete.cancel.success;Data deletion request canceled;
msg.error.request.delete.cancel;Sorry, your data deletion request couldn't be canceled. Please try again later.;
lbl.dial.in.number.webinar.number;Dial-in Number: {webinarNumber};
lbl.vat.no;VAT Registration Number;
lbl.australian.business.number;Australian Business Number (ABN);
msg.enter.vat.id.no;Enter your VAT registration number;
msg.enter.abn.id.no;Enter your Australian Business Number;
msg.business.registered.vat.no;Please enter a business registered VAT registration number;
msg.gst.id.no;Business registered GST Identification Number (GSTIN);
msg.enter.gst.id.no;Enter your GST identification number;
msg.business.registered.gst.no;Please enter a business registered GST identification number(GSTIN);
msg.tin.no;Tax Identification Number (TIN);
msg.enter.tin.no;Enter your Tax Identification Number;
msg.business.registered.tin.no;Please enter a business registered TIN registration number;
lbl.trn.no;Tax Registration Number;
msg.enter.your.tax.no;Enter your tax registration number;
msg.business.registered.tax.no;Please enter a business registered tax registration number;
msg.sh.es.sponsorship.closed;sponsorship is closed for the event;
msg.view.order.in.your.orders.page;"You can view your order <a href="""">here</a>";
lbl.all.events;All Events;
msg.adjust.and.crop.image;Adjust and crop image;
lbl.flip;Flip;
lbl.rotate;Rotate;
lbl.zoom.in;Zoom In;
lbl.zoom.out;Zoom Out;
lbl.telegram;Telegram;
lbl.telegram.profile;Telegram Profile;
msg.telegram.url.invalid;Invalid Telegram URL;
msg.telegram.url.too.long;Telegram URL exceeded max length;
msg.telegram.sample.placeholder;https://telegram.org/abcde;
lbl.medium.profile;Medium Profile;
msg.medium.url.invalid;Invalid medium URL;
msg.medium.url.too.long;Medium URL exceeded max length;
msg.medium.sample.placeholder;https://medium.com/xyz;
msg.add.bookmark;Add bookmark;
msg.remove.bookmark;Remove bookmark;
msg.date.and.time.shown.timezone;"Date and time is shown in <span class=""strong"">{timezone}</span>.";
msg.err.attendee.email.repeated;Please enter an email address that isn't already included in this order;
msg.err.attendee.name.repeated;Kindly ensure that the name of the attendee is correct;
msg.err.unique.attendee.email.needed;The email addresses should be different for each ticket in the order;
lbl.show.auto.fields;Show Duplicate Fields;
lbl.hide.auto.fields;Hide Duplicate Fields;
lbl.purchaser.attendee.info;Purchaser and Attendee Information;
lbl.error;Error;
lbl.send.qr.code;Scan QR Code;
lbl.terms.and.conditions;Terms and Conditions;
lbl.app.version;App Version;
lbl.app.rate.us;Love the App? Rate Us;
lbl.settings;Settings;
lbl.confirm.registration;Confirm Registration;
lbl.confirm.session.registration;Confirm Session Registration;
lbl.register;Register;
lbl.registered;Registered;
lbl.registration.details;Registration Details;
lbl.unregister.session.registration;Unregister from Session?;
lbl.unregister;Unregister;
msg.session.registration.unregister.confirm;If you unregister, you won't be able to join or participate in the session on event day;
msg.session.registration.unregister.no.refund.confirm;You will not be refunded as the event's cancellation policy doesn't support refunds;
msg.session.registration.unregister.refund.confirm;You will be refunded according to the terms in the event's cancellation policy;
msg.session.slot.unavailable;No slots available;
msg.session.registered.success;You're registered for the <b>{sessionName}</b> session;
msg.session.registration.overlap.title;Session registrations overlap;
msg.session.registration.overlap.confirm;You have already registered some sessions with the same slot timing as {sessionName}. So you want to continue register to this session?;
msg.order.confirm;You're order has been confirmed;
msg.session.register.suc;Thank you for registering for the session. We look forward to seeing you there.;
msg.buy.ticket.and.login;Please register for the event and sign in to the website to proceed;
msg.visit.tickets.page;Visit tickets page;
lbl.claim;Claim;
lbl.ticket.downloaded;Ticket Downloaded;
lbl.open;Open;
lbl.downloading.ticket;Downloading Ticket;
lbl.my.sponsor.details;My Sponsor Details;
lbl.pending;Pending;
lbl.approved;Approved;
lbl.denied;Denied;
msg.spnsr.request.updated;Sponsor proposal updated;
lbl.sponsor.status;Sponsor Status;
msg.error.buy.ticket.form.fill.info;Podczas wypełniania formularza występują błędy. Popraw błędy i kontynuuj.;
lbl.registration.closed;Registration Closed;
lbl.registration.incomplete;Registration Incomplete;
msg.registration.incomplete;You haven't completed your registration for the event. If you cancel this process, any tickets you have selected will not be saved.;
lbl.confirm;Confirm;
msg.remove.session.registration.suc;You have unregistered from {sessionName};
msg.buy.ticket.to.proceed;Please register for the event to proceed;
lbl.use.buyer.info;Use Buyer Information;
lbl.i.am.attending;I Am Attending;
lbl.ticket.sold.out;Tickets Sold Out;
msg.session.registrations.closed;Registrations for this session are closed;
msg.session.registrations.not.started;Registrations for this session not yet started;
msg.session.registrations.ended;Registrations for this session already ended;
lbl.member.view.profile;View Profile;
lbl.feature.event.speakers;Feature Speakers;
lbl.add.speaker;Add Speaker;
msg.error.event.attendee.email.not.unique;Event tickets have already been assigned to <b>{emailIds}</b>.;
lbl.edit.review;Edit Feedback;
lbl.you.rated;You Rated;
msg.session.feedback.success;Thank you for your valuable feedback;
msg.session.feedback.fail;Sorry, the feedback couldn't be saved. Please try again.;
msg.session.feedback;Session feedback;
msg.code.applied;Code applied;
msg.leave.session.message;You are about to leave an ongoing session. If you want to attend this session later, you will have to rejoin again.;
lbl.now.viewing;Now Viewing;
lbl.ended;Ended;
lbl.leave.this.session;Leave This Session?;
lbl.leave.session;Leave Session;
lbl.exit.meeting;Exit Meeting;
msg.error.attendee.first.name.invalid;"Attendee can't have "", <, or > in the first name";
msg.error.attendee.ticket.used;Sorry, the ticket you're trying to reassign has already been used.;
lbl.about.the.speaker;About the Speaker;
lbl.sessions.by.speaker;Sessions by Speaker;
msg.left.session;You've left the session;
lbl.rejoin.session;Rejoin Session;
msg.join.tkt.holder;Please register to take part in the event;
msg.join.sign.in;Please sign in to the website to take part in the event;
msg.join.tkt.holder.sign.in;Please register and sign in to the website to take part in the event;
lbl.check.in;Check In;
msg.check.in.fail;Unable to check you in. Please try again later.;
lbl.welcome.event;Welcome to the {eventName} Event;
msg.join.event.started;The event has started. Click the banner to view and join live sessions.;
msg.join.session.running;The session, <strong>{sessionName}</strong>, has started. Click the banner to join.;
msg.check.in.success;You have checked in to the <strong>{eventName}</strong> event. You can now join sessions, ask questions, take part in polls, and do so much more.;
msg.event.will.start.check.in;The event will start at {startDate[hh:mm A (z)]}. Please check in to join event sessions.;
msg.event.will.start;The event will start at {startDate[hh:mm A (z)]};
msg.running.sessions.count;The event has started and {runningSessionsCount} sessions are currently live. Click the banner to view and join live sessions.;
msg.join.event.started.check.in;The event has started. Check in to view and join live sessions.;
msg.event.will.start.sign.in;The event will start at {startDate[hh:mm A (z)]}. Please sign in to join event sessions.;
msg.join.no.sessions.running;No sessions are running right now. Please check back later.;
msg.join.ticket.sales.end;Thank you for your interest! You need a ticket to take part in this event, but online tickets are currently sold out. Please contact the event organizer for more details.;
msg.join.ticket.not.configured;Thank you for your interest! To know more about how to participate in this event, please contact the event organizer for details.;
msg.join.event.started.sign.in;The event has started. Sign in to the event website to know which sessions are running and participate in them.;
msg.join.event.description;You can now participate in sessions and provide feedback and rate sessions.;
msg.placeholder.input.ticket.cancel;Enter your reason here;
lbl.note;Note:;
lbl.join.session;Join Session;
lbl.payment.mode;Payment Mode;
lbl.outstanding;Outstanding;
lbl.online;Online;
lbl.offline;Offline;
lbl.payment.pending;Payment Pending;
lbl.cancel.offline.order;Cancel Offline Order;
msg.cancel.offline.order.request;You are canceling an order that was purchased through an offline payment mode. Cancellation for all tickets in this order can be requested online from the event website. For refunds, please contact the event organizer.;
msg.session.ended.successfully;Session ended;
msg.upcoming.session.at;This session will begin at {time};
msg.manage.booth.description;We are happy to have you as an <b>Exhibitor</b> in the <b>{eventName}</b> event. For starters, manage your booth by updating your company profile.;
lbl.upcoming;Upcoming;
lbl.book;Book;
err.msg.booth.slot.not.available;The meeting slot is not available as it is already booked. Please pick another slot.;
err.msg.booth.slot.not.deleted;Appointment can't be deleted. Please refresh try again later.;
msg.slots.available;{number} slots available;
msg.one.slot.available;1 slot available;
msg.pick.an.option;Pick an option below;
lbl.completed;Completed;
lbl.track.ct;{count} Track;
lbl.session.rating;Session Rating;
lbl.preview.ticket;Preview Ticket;
lbl.my.channels;My Channels;
msg.error.channel.members.limit;You can add up to ten members to your channel at once;
msg.join.event.check.in;Only checked-in attendees can join the event. Go to the check-in area at the venue to be checked into the event.;
lbl.enter.event;Enter Event;
lbl.gmt;GMT;
msg.channel.created.info;"Created by <span class=""strong text-primary"">{createdBy}</span> on {createdTime}";
lbl.resend.order.email;Resend Order Email;
msg.click.join.session.to.participate;Click the join button to participate in session;
lbl.join.rehearsal;Join Rehearsal;
lbl.rehearsing;Rehearsing;
lbl.live.rehearsal;Live Rehearsal;
lbl.rehearsal.ended;Rehearsal Ended;
lbl.rehearsal;Rehearsal;
msg.session.rehearse.ended;Session rehearsal ended;
lbl.view.website;View Website;
lbl.view.site;View Website;
msg.enter.booth.for.booth.testing;Enter the booth to participate in the OnAir rehearsal with other exhibitors and test booth visitors;
msg.exhibitors.available.for.meetings;Exhibitors are available for meetings;
msg.enter.booth.to.meet.attendees;Enter the booth to be available for meetings with attendees;
msg.error.join.meeting.exhibitor;Sorry, we couldn't connect you with the exhibitor right now. Please try again later.;
msg.error.exhibitor.room.inactive;Sorry, the booth you're requesting to join is inactive. Please try after sometime;
msg.request.meeting.room.participant.description;You have already requested to meet booth members in the {oldExhibitor} booth. Entering another meeting in the {newExhibitor} booth will cancel the meeting request you've sent to the exhibitor in the {oldExhibitor} booth exhibitor and will send a request to join the {newExhibitor} booth.;
msg.error.unable.to.share.contact;Sorry, we couldn't share your contact to exhibitor. Please try again later.;
msg.share.contact.success;Your contact details shared to the exhibitor.;
msg.request.meeting.room.visitor.description;You are already in a meeting with booth members in the {oldExhibitor} booth. Entering another meeting in the {newExhibitor} booth will exit the active meeting from {oldExhibitor} booth and will send a request to join the {newExhibitor} booth.;
msg.error.exhibitor.request.not.found;Sorry, you can't join this exhibitor meeting as the event is already completed.;
msg.error.exhibitor.request.form.failed;Sorry, the form is not sent successfully. Please try again later.;
msg.warning.onhold.state.booth;You can't apply for this booth as it is on hold. Please select another booth or contact the event organizer for more details.;
msg.warning.sold.out.booth.category;You can't apply for this booth as the booth category is sold out. Please select another booth or contact the event organizer for more details.;
msg.ticket.class.access.to.sessions;This ticket allows exclusive access to the following sessions;
mgs.eligible.ticket.classes;Eligible ticket classes;
lbl.show.more;Show More;
msg.show.exclusive.sessions;Show sessions exclusive to this ticket class;
msg.hide.exclusive.sessions;Hide exclusive sessions;
msg.join.eligible.session.empty.state.header;Session restricted;
msg.register.eligible.session.empty.state.subheader;You can only register for this session if you have a ticket from one of these eligible ticket classes;
msg.join.eligible.session.empty.state.subheader;You can only join this session if you have a ticket from one of these eligible ticket classes;
msg.join.permission.session.empty.state.subheader;You do not have permission to join this session;
msg.register.permission.session.empty.state.subheader;You do not have permission to register for this session. Please reach out to the event organizer.;
lbl.welcome.user;Welcome {userName};
lbl.skip.and.do.it.later;Skip and Do It Later;
msg.success.ticket.reassigned;Ticket reassigned;
msg.success.reassign;Your ticket is reassigned to {emailId};
msg.update.email.address.info;After you update the email address, your ticket will be reassigned to the updated email address you've provided. You'll also be signed out from this session and a sign-in link will be sent to the updated email address.;
msg.update.email.address.info.mobile;After you update the email address, your ticket will be reassigned and a one time password (OTP) will be sent to the updated email address you've provided. You'll also be signed out from this session. To be signed in with the updated email address, enter the received OTP.;
msg.email.login.info;You will be signed out from the current session. An email with a magic link will be sent to you. Click the magic link to be signed in with your email address.;
msg.email.login.info.mobile;You will be signed out from the current session. An email with a magic link and one time password (OTP) will be sent to you. Enter the received OTP to be singed in with your email address.;
msg.discussions.sign.in.with.email.address.info;Sign in with your email address to participate in discussions;
msg.gallery.sign.in.with.email.address.info;Sign in with your email address to upload images in gallery;
msg.ticket.id.login.subheading;You are signed in with the {ticketId} ticket ID associated to {maskedEmail};
msg.join.eligible.session.checkin.subheader;You can only join this session if you have a paid ticket from one of these eligible ticket classes and have checked in to the event;
msg.register.eligible.session.checkin.subheader;You can only register for this session if you have a paid ticket from one of these eligible ticket classes and have checked in to the event;
